rank,itemName,itemPrice,shopName,genreId
21,ASUS　エイスース ノートパソコン スレートグレー X545FA-BQ138T [15.6型 /intel Core i3 /SSD：512GB /メモリ：8GB /2020年2月モデル][15.6インチ WPS office付き 新品 windows10],61813,楽天ビック（ビックカメラ×楽天）,100040
22,【あす楽】中古パソコン ノートパソコン Windows10 A4 ノートPC 店長おまかせ 送料無料【インバースおまかせシリーズ 中古 1年保証 簡単設定! ECOぱそ Office付 お試し購入OK 即日〜翌日発送 高評価レビュー多数 プロにお任せ】【ヤマダ ホールディングスグループ】,13800,ショップ・インバース楽天市場店,100040
23,ノートパソコン 店長おまかせ Windows10 Windows7 東芝 富士通 NEC DELL HP等 Core2世代Celeron メモリ4GB HDD250GB以上 大画面 DVD WiFi WPS Office付 ノートPC 中古パソコン 中古ノートパソコン【中古】【訳有特価】,9800,パソコンショップ プラン,100040
24,Ryzen7 16GBメモリ 512GB高速SSD 13.3型 タッチ式 HP ENVY x360 13（型番：3N945PA-AABB）指紋認証 ノートパソコン office付き 新品 (2020年7月モデル）,117000,HP Directplus楽天市場店,100040
25,DELL デル ノートパソコン Inspiron 15 5000 プレミアム 15.6型FHD/ 第3世代 Ryzen 5 4500U/メモリ 8GB/SSD 256GB/Windows 10/Office 付き/シルバー 【新品】,89800,BJY通販ショップ,100040
26,【5/16 1:59までポイント5倍】直販 ノートパソコン：Lenovo IdeaPad Slim 550 AMD Ryzen 5搭載(14.0型 FHD/8GBメモリー/256GB SSD/Windows10/Officeなし/プラチナグレー)【送料無料】,67716,レノボ・ショッピング　楽天市場店,100040
27,富士通 ノートパソコン Office付き 新品 同様 SSD Core i5 16GBメモリ SSD 256GB 15.6インチ HD DVD-RWWebカメラ WPS Office搭載 Windows10 FMV FUJITSU LIFEBOOK A5510/D FMVA82001 無線LAN 訳あり,65000,PREMIUM　STAGE,100040
28,テレワークに最適 富士通 LifeBook S935 第五世代Core-i5 RAM:6GB 新品SSD:256GB 正規版Office付き 13.3インチワイド 無線内蔵 USB3.0 Webカメラ 中古パソコン Win10 ノートパソコン Windows10 Pro 64bit FMV 在宅ワーク zoom対応,35000,BTOパソコン専門店のPC-MAX,100040
29,今だけポイント5倍! 余裕の強力性能ならコレ! ノートパソコン 中古 16GB 新品爆速SSD 512GB マニュアル付き 安心サポート込み! 初期設定不要! すぐ使える! テンキー Windows10 Office付き 店長おまかせ強力性能ノート 中古パソコン 中古ノートパソコン,39999,中古パソコン　くじらや,100040
30,1W5B8PA-AAAA HP（エイチピー） Celeron N4020 4GBメモリ 128GB SSD ノートパソコン 15.6型 IPS HP15s-fq 薄型 ピュアホワイト,39800,Joshin web 家電とPCの大型専門店,100040
